ra,dec
3.6818055555555556,-4.054652777777778
3.6818055555555556,-4.0431944444444445
3.6818055555555556,-4.031736111111111
3.6818055555555556,-4.020277777777777
3.6818055555555556,-4.008819444444445
3.6932638888888887,-4.089027777777778
3.6932638888888887,-4.077569444444444
3.6932638888888887,-4.066111111111111
3.6932638888888887,-4.054652777777778
3.6932638888888887,-4.0431944444444445
3.6932638888888887,-4.031736111111111
3.6932638888888887,-4.020277777777777
3.6932638888888887,-4.008819444444445
3.7047222222222222,-4.066111111111111
3.7047222222222222,-4.054652777777778
3.7047222222222222,-4.0431944444444445
3.7047222222222222,-4.031736111111111
3.7047222222222222,-4.020277777777777
3.7047222222222222,-4.008819444444445
3.716180555555556,-4.066111111111111
3.716180555555556,-4.054652777777778
3.716180555555556,-4.0431944444444445
3.716180555555556,-4.031736111111111
3.716180555555556,-4.020277777777777
3.716180555555556,-4.008819444444445
3.727638888888889,-4.066111111111111
3.727638888888889,-4.054652777777778
3.727638888888889,-4.0431944444444445
3.727638888888889,-4.031736111111111
3.727638888888889,-4.020277777777777
3.727638888888889,-4.008819444444445
3.739097222222222,-4.799444444444444
3.739097222222222,-4.684861111111111
3.739097222222222,-4.077569444444444
3.739097222222222,-4.066111111111111
3.739097222222222,-4.054652777777778
3.739097222222222,-4.0431944444444445
3.739097222222222,-4.031736111111111
3.739097222222222,-4.020277777777777
3.739097222222222,-4.008819444444445
3.7505555555555556,-4.066111111111111
3.7505555555555556,-4.054652777777778
3.7505555555555556,-4.0431944444444445
3.7505555555555556,-4.031736111111111
3.7505555555555556,-4.020277777777777
3.7505555555555556,-4.008819444444445
3.7620138888888888,-4.066111111111111
3.7620138888888888,-4.054652777777778
3.7620138888888888,-4.0431944444444445
3.7620138888888888,-4.031736111111111
3.7620138888888888,-4.020277777777777
3.7620138888888888,-4.008819444444445
3.7734722222222223,-4.512986111111111
3.7734722222222223,-4.066111111111111
3.7734722222222223,-4.054652777777778
3.7734722222222223,-4.0431944444444445
3.7734722222222223,-4.031736111111111
3.7734722222222223,-4.020277777777777
3.7734722222222223,-4.008819444444445
3.7849305555555555,-4.077569444444444
3.7849305555555555,-4.066111111111111
3.7849305555555555,-4.054652777777778
3.7849305555555555,-4.0431944444444445
3.7849305555555555,-4.031736111111111
3.7849305555555555,-4.020277777777777
3.7849305555555555,-4.008819444444445
3.796388888888889,-4.066111111111111
3.796388888888889,-4.054652777777778
3.796388888888889,-4.0431944444444445
3.796388888888889,-4.031736111111111
3.796388888888889,-4.020277777777777
3.796388888888889,-4.008819444444445
3.807847222222222,-4.066111111111111
3.807847222222222,-4.054652777777778
3.807847222222222,-4.0431944444444445
3.807847222222222,-4.031736111111111
3.807847222222222,-4.020277777777777
3.807847222222222,-4.008819444444445
3.8193055555555553,-4.639027777777778
3.8193055555555553,-4.409861111111111
3.8193055555555553,-4.066111111111111
3.8193055555555553,-4.054652777777778
3.8193055555555553,-4.0431944444444445
3.8193055555555553,-4.031736111111111
3.8193055555555553,-4.020277777777777
3.8193055555555553,-4.008819444444445
3.830763888888889,-4.066111111111111
3.830763888888889,-4.054652777777778
3.830763888888889,-4.0431944444444445
3.830763888888889,-4.031736111111111
3.830763888888889,-4.020277777777777
3.830763888888889,-4.008819444444445
3.8422222222222224,-4.066111111111111
3.8422222222222224,-4.054652777777778
3.8422222222222224,-4.0431944444444445
3.8422222222222224,-4.031736111111111
3.8422222222222224,-4.020277777777777
3.8422222222222224,-4.008819444444445
3.8536805555555556,-4.066111111111111
3.8536805555555556,-4.054652777777778
3.8536805555555556,-4.0431944444444445
3.8536805555555556,-4.031736111111111
3.8536805555555556,-4.020277777777777
3.8536805555555556,-4.008819444444445
3.8651388888888887,-4.066111111111111
3.8651388888888887,-4.054652777777778
3.8651388888888887,-4.0431944444444445
3.8651388888888887,-4.031736111111111
3.8651388888888887,-4.020277777777777
3.8651388888888887,-4.008819444444445
3.8765972222222222,-4.822361111111111
3.8765972222222222,-4.077569444444444
3.8765972222222222,-4.066111111111111
3.8765972222222222,-4.054652777777778
3.8765972222222222,-4.0431944444444445
3.8765972222222222,-4.031736111111111
3.8765972222222222,-4.020277777777777
3.8765972222222222,-4.008819444444445
3.888055555555556,-4.066111111111111
3.888055555555556,-4.054652777777778
3.888055555555556,-4.0431944444444445
3.888055555555556,-4.031736111111111
3.888055555555556,-4.020277777777777
3.888055555555556,-4.008819444444445
3.899513888888889,-4.066111111111111
3.899513888888889,-4.054652777777778
3.899513888888889,-4.0431944444444445
3.899513888888889,-4.031736111111111
3.899513888888889,-4.020277777777777
3.899513888888889,-4.008819444444445
3.910972222222222,-4.066111111111111
3.910972222222222,-4.054652777777778
3.910972222222222,-4.0431944444444445
3.910972222222222,-4.031736111111111
3.910972222222222,-4.020277777777777
3.910972222222222,-4.008819444444445
3.9224305555555556,-4.948402777777778
3.9224305555555556,-4.936944444444444
3.9224305555555556,-4.925486111111111
3.9224305555555556,-4.845277777777778
3.9224305555555556,-4.833819444444444
3.9224305555555556,-4.719236111111111
3.9224305555555556,-4.478611111111111
3.9224305555555556,-4.318194444444444
3.9224305555555556,-4.237986111111111
3.9224305555555556,-4.226527777777778
3.9224305555555556,-4.2150694444444445
3.9224305555555556,-4.146319444444444
3.9224305555555556,-4.111944444444444
3.9224305555555556,-4.077569444444444
3.9224305555555556,-4.066111111111111
3.9224305555555556,-4.054652777777778
3.9224305555555556,-4.0431944444444445
3.9224305555555556,-4.031736111111111
3.9224305555555556,-4.020277777777777
3.9224305555555556,-4.008819444444445
3.9338888888888888,-4.994236111111111
3.9338888888888888,-4.982777777777778
3.9338888888888888,-4.971319444444444
3.9338888888888888,-4.9598611111111115
3.9338888888888888,-4.948402777777778
3.9338888888888888,-4.936944444444444
3.9338888888888888,-4.925486111111111
3.9338888888888888,-4.914027777777778
3.9338888888888888,-4.9025694444444445
3.9338888888888888,-4.891111111111111
3.9338888888888888,-4.879652777777777
3.9338888888888888,-4.868194444444445
3.9338888888888888,-4.856736111111111
3.9338888888888888,-4.845277777777778
3.9338888888888888,-4.833819444444444
3.9338888888888888,-4.822361111111111
3.9338888888888888,-4.810902777777778
3.9338888888888888,-4.799444444444444
3.9338888888888888,-4.7879861111111115
3.9338888888888888,-4.776527777777778
3.9338888888888888,-4.765069444444444
3.9338888888888888,-4.753611111111111
3.9338888888888888,-4.742152777777778
3.9338888888888888,-4.7306944444444445
3.9338888888888888,-4.719236111111111
3.9338888888888888,-4.707777777777777
3.9338888888888888,-4.696319444444445
3.9338888888888888,-4.684861111111111
3.9338888888888888,-4.673402777777778
3.9338888888888888,-4.661944444444444
3.9338888888888888,-4.650486111111111
3.9338888888888888,-4.639027777777778
3.9338888888888888,-4.627569444444444
3.9338888888888888,-4.6161111111111115
3.9338888888888888,-4.604652777777778
3.9338888888888888,-4.593194444444444
3.9338888888888888,-4.581736111111111
3.9338888888888888,-4.570277777777778
3.9338888888888888,-4.5588194444444445
3.9338888888888888,-4.547361111111111
3.9338888888888888,-4.535902777777777
3.9338888888888888,-4.524444444444445
3.9338888888888888,-4.512986111111111
3.9338888888888888,-4.501527777777778
3.9338888888888888,-4.490069444444444
3.9338888888888888,-4.478611111111111
3.9338888888888888,-4.467152777777778
3.9338888888888888,-4.455694444444444
3.9338888888888888,-4.4442361111111115
